Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Pigmentation,vegen,Zucchini,Fried Tofu
Wrinkles,nonveg,Tuna,Sausages
Dryness,veg,Carrot,Creamy Curries
Wrinkles,nonveg,Liver,Fried Fish
Pores,nonveg,Prawns,Butter Chicken
Pigmentation,veg,Cucumber,Pickles
Whiteheads,combination,Avocado Toast with Egg,Butter Paneer
Sunburn,combination,Baked Fish with Veggies,Instant Noodles
Dark Circles,nonveg,Tuna,Mutton Curry
Dark Circles,nonveg,Eggs,Butter Chicken
Acne,veg,Turmeric Milk,Butter
Whiteheads,nonveg,Oysters,Butter Chicken
Inflammation,nonveg,Eggs,Spicy Chicken
Pores,vegen,Soy Milk,Agave Syrup
Pigmentation,combination,Vegetable Soup,Chips
Dryness,vegen,Oats,Fried Tofu
Blackheads,veg,Spinach,Deep-Fried Snacks
Dryness,combination,Avocado Toast with Egg,Butter Paneer
Whiteheads,veg,Tomato,Fried Potato
Sagging,combination,Vegetable Soup,Fried Chicken
Dullness,veg,Sweet Potato,Cheese
Dark Circles,veg,Spinach,Carbonated Drinks
Rosacea,nonveg,Liver,Red Meat
Dark Spots,combination,Avocado Toast with Egg,Ice Cream
Inflammation,vegen,Quinoa,Agave Syrup
Oily Skin,combination,Fruit Yogurt,Butter Paneer
Dryness,combination,Mixed Nuts,Instant Noodles
Inflammation,veg,Beetroot,Refined Sugar
Pores,veg,Almonds,Butter
Oily Skin,veg,Turmeric Milk,Cheese
Uneven Skin Tone,vegen,Lentils,Refined Oil
Inflammation,veg,Turmeric Milk,Pickles
Inflammation,nonveg,Bone Broth,Processed Meat
Itchy Skin,vegen,Quinoa,Overprocessed Vegan Snacks
Dryness,vegen,Soy Milk,Overprocessed Vegan Snacks
Acne,combination,Fish Curry with Rice,Excess Cheese
Pigmentation,veg,Spinach,Processed Juice
Sagging,veg,Beetroot,Refined Sugar
Dark Circles,combination,Chicken with Broccoli,Ice Cream
Inflammation,nonveg,Liver,Fried Egg
Rosacea,vegen,Coconut Water,Mock Meats
Itchy Skin,vegen,Soy Milk,Mock Meats
Dark Spots,vegen,Oats,White Sugar
Pigmentation,vegen,Kale,Fried Tofu
Blackheads,veg,Turmeric Milk,White Bread
Dark Circles,vegen,Hummus,Refined Oil
Itchy Skin,combination,Tofu Stir Fry,Fried Chicken
Tanning,vegen,Coconut Water,Agave Syrup
Pores,nonveg,Tuna,Fried Egg
Dullness,nonveg,Chicken Breast,Fried Egg
Oily Skin,vegen,Quinoa,Packaged Vegan Chips
Sunburn,veg,Sweet Potato,Processed Juice
Uneven Skin Tone,nonveg,Tuna,Fried Fish
Dark Circles,veg,Beetroot,Refined Sugar
Inflammation,veg,Pumpkin Seeds,Fried Potato
Pores,vegen,Hummus,Packaged Vegan Chips
Dullness,vegen,Lentils,Fried Tofu
Acne,veg,Carrot,White Bread
Redness,vegen,Hummus,Packaged Vegan Chips
Dullness,vegen,Kale,Agave Syrup
Dullness,vegen,Zucchini,Fried Tofu
Dullness,veg,Almonds,Carbonated Drinks
Rosacea,combination,Avocado Toast with Egg,Pizza
Whiteheads,combination,Egg Salad,Pizza
Redness,nonveg,Oysters,Processed Meat
Blackheads,vegen,Oats,Refined Oil
Inflammation,vegen,Lentils,Mock Meats
Redness,nonveg,Turkey,Mayonnaise
Oily Skin,veg,Turmeric Milk,Cheese
Dark Circles,vegen,Oats,Coconut Cream
Sunburn,veg,Pumpkin Seeds,Processed Juice
Itchy Skin,veg,Beetroot,Cheese
Pores,veg,Beetroot,Deep-Fried Snacks
Pigmentation,vegen,Hummus,Excess Soy
Redness,combination,Vegetable Soup,Burger
Uneven Skin Tone,combination,Greek Yogurt with Berries,Cream Biscuits
Tanning,combination,Tofu Stir Fry,Excess Cheese
Pores,combination,Avocado Toast with Egg,Excess Cheese
Blackheads,combination,Mixed Nuts,Instant Noodles
Dullness,nonveg,Yogurt,Bacon
Oily Skin,combination,Tofu Stir Fry,Burger
Rosacea,nonveg,Bone Broth,Mutton Curry
Whiteheads,combination,Tofu Stir Fry,Butter Paneer
Dullness,nonveg,Bone Broth,Bacon
Redness,combination,Egg Salad,Fried Chicken
Tanning,nonveg,Eggs,Mutton Curry
Dryness,combination,Greek Yogurt with Berries,Excess Cheese
Dark Circles,vegen,Oats,Mock Meats
Tanning,combination,Chicken with Broccoli,Ice Cream
Pigmentation,veg,Carrot,Processed Juice
Itchy Skin,nonveg,Salmon,Spicy Chicken
Wrinkles,vegen,Soy Milk,Fried Tofu
Uneven Skin Tone,combination,Greek Yogurt with Berries,Chips
Sunburn,combination,Avocado Toast with Egg,Chips
Uneven Skin Tone,vegen,Zucchini,Overprocessed Vegan Snacks
Dark Circles,veg,Tomato,Fried Potato
Dryness,combination,Fruit Yogurt,Cream Biscuits
Redness,combination,Avocado Toast with Egg,Burger
Dark Circles,nonveg,Bone Broth,Red Meat
Acne,nonveg,Oysters,Fried Fish
Dark Circles,veg,Tomato,Creamy Curries
Uneven Skin Tone,vegen,Quinoa,Vegan Mayo
Eczema,vegen,Oats,Coconut Cream
Inflammation,combination,Baked Fish with Veggies,Pizza
Tanning,vegen,Chia Seeds,Mock Meats
Eczema,nonveg,Chicken Breast,Bacon
Pores,combination,Vegetable Soup,Instant Noodles
Uneven Skin Tone,vegen,Hummus,Excess Soy
Oily Skin,veg,Tomato,Deep-Fried Snacks
Tanning,combination,Egg Salad,Ice Cream
Dullness,nonveg,Tuna,Sausages
Pigmentation,nonveg,Salmon,Mutton Curry
Sunburn,combination,Baked Fish with Veggies,Instant Noodles
Pigmentation,combination,Avocado Toast with Egg,Ice Cream
Wrinkles,veg,Broccoli,Carbonated Drinks
Itchy Skin,vegen,Coconut Water,Agave Syrup
Tanning,veg,Carrot,Deep-Fried Snacks
Uneven Skin Tone,nonveg,Bone Broth,Bacon
Rosacea,veg,Beetroot,Refined Sugar
Sagging,vegen,Lentils,White Sugar
Itchy Skin,combination,Vegetable Soup,Pizza
Dullness,nonveg,Oysters,Red Meat
Dark Circles,nonveg,Prawns,Processed Meat
Dryness,nonveg,Eggs,Butter Chicken
Eczema,combination,Avocado Toast with Egg,Excess Cheese
Uneven Skin Tone,nonveg,Turkey,Processed Meat
Pigmentation,nonveg,Tuna,Spicy Chicken
Dark Spots,nonveg,Bone Broth,Mutton Curry
Acne,nonveg,Salmon,Spicy Chicken
Uneven Skin Tone,vegen,Zucchini,White Sugar
Sunburn,nonveg,Salmon,Mutton Curry
Acne,nonveg,Tuna,Bacon
Redness,vegen,Kale,White Sugar
Wrinkles,vegen,Kale,Coconut Cream
Acne,vegen,Hummus,Overprocessed Vegan Snacks
Sagging,combination,Mixed Nuts,Ice Cream
Dryness,nonveg,Yogurt,Processed Meat
Sunburn,veg,Spinach,White Bread
Blackheads,combination,Baked Fish with Veggies,Sugary Drinks
Blackheads,veg,Tomato,Butter
Dark Circles,veg,Beetroot,Deep-Fried Snacks
Dullness,vegen,Chia Seeds,Mock Meats
Acne,veg,Cucumber,White Bread
Pigmentation,nonveg,Yogurt,Red Meat
Pores,veg,Cucumber,Pickles
Whiteheads,vegen,Chia Seeds,Fried Tofu
Sagging,combination,Fruit Yogurt,Excess Cheese
Wrinkles,nonveg,Yogurt,Red Meat
Rosacea,combination,Greek Yogurt with Berries,Ice Cream
Tanning,vegen,Tofu,Fried Tofu
Dark Circles,combination,Greek Yogurt with Berries,Burger
Pigmentation,nonveg,Oysters,Fried Egg
Dryness,combination,Avocado Toast with Egg,Excess Cheese
Tanning,combination,Fruit Yogurt,Fried Chicken
Dark Circles,nonveg,Turkey,Mutton Curry
Sunburn,vegen,Zucchini,White Sugar
Pigmentation,veg,Beetroot,Refined Sugar
Oily Skin,veg,Spinach,Deep-Fried Snacks
Itchy Skin,veg,Tomato,Cheese
Tanning,vegen,Zucchini,Refined Oil
Oily Skin,vegen,Soy Milk,Fried Tofu
Dullness,veg,Tomato,Processed Juice
Dark Circles,combination,Chicken with Broccoli,Cream Biscuits
Eczema,combination,Mixed Nuts,Sugary Drinks
Eczema,combination,Chicken with Broccoli,Butter Paneer
Wrinkles,nonveg,Eggs,Spicy Chicken
Sagging,vegen,Lentils,Excess Soy
Blackheads,vegen,Tofu,Overprocessed Vegan Snacks
Acne,combination,Fruit Yogurt,Sugary Drinks
Dark Circles,veg,Almonds,White Bread
Rosacea,combination,Fruit Yogurt,Cream Biscuits
Rosacea,nonveg,Tuna,Red Meat
Tanning,nonveg,Tuna,Bacon
Dullness,combination,Baked Fish with Veggies,Pizza
Dullness,vegen,Coconut Water,Mock Meats
Inflammation,combination,Egg Salad,Instant Noodles
Itchy Skin,veg,Beetroot,Fried Potato
Pores,vegen,Coconut Water,Coconut Cream
Oily Skin,combination,Vegetable Soup,Butter Paneer
Sagging,combination,Tofu Stir Fry,Sugary Drinks
Rosacea,vegen,Oats,Overprocessed Vegan Snacks
Eczema,combination,Avocado Toast with Egg,Ice Cream
Whiteheads,nonveg,Turkey,Mayonnaise
Sagging,combination,Fish Curry with Rice,Sugary Drinks
Pores,nonveg,Salmon,Sausages
Oily Skin,vegen,Quinoa,Vegan Mayo
Oily Skin,nonveg,Bone Broth,Spicy Chicken
Acne,combination,Tofu Stir Fry,Sugary Drinks
Dark Circles,combination,Chicken with Broccoli,Burger
Uneven Skin Tone,vegen,Oats,Refined Oil
Dark Circles,combination,Mixed Nuts,Cream Biscuits
Rosacea,nonveg,Liver,Mutton Curry
Itchy Skin,nonveg,Liver,Spicy Chicken
Eczema,combination,Fish Curry with Rice,Pizza
Redness,vegen,Chia Seeds,Coconut Cream
Whiteheads,veg,Sweet Potato,Cheese
Wrinkles,nonveg,Tuna,Fried Fish
Blackheads,veg,Carrot,Butter
Inflammation,nonveg,Eggs,Fried Fish
Oily Skin,nonveg,Eggs,Fried Fish
Pigmentation,veg,Pumpkin Seeds,Butter
Dark Spots,veg,Pumpkin Seeds,Deep-Fried Snacks
Dark Circles,vegen,Coconut Water,Agave Syrup
Tanning,vegen,Hummus,Packaged Vegan Chips
Acne,veg,Turmeric Milk,Refined Sugar
Dark Spots,combination,Fruit Yogurt,Fried Chicken
Tanning,veg,Almonds,Butter
Dullness,nonveg,Salmon,Red Meat
Rosacea,nonveg,Bone Broth,Butter Chicken
Sagging,vegen,Coconut Water,Fried Tofu
Blackheads,combination,Greek Yogurt with Berries,Chips
Rosacea,vegen,Lentils,Agave Syrup
Dullness,veg,Turmeric Milk,Pickles
Dark Circles,nonveg,Yogurt,Spicy Chicken
Wrinkles,nonveg,Liver,Spicy Chicken
Pigmentation,veg,Tomato,White Bread
Acne,combination,Chicken with Broccoli,Pizza
Dullness,nonveg,Bone Broth,Bacon
Tanning,nonveg,Chicken Breast,Bacon
Sagging,veg,Spinach,Creamy Curries
Eczema,vegen,Tofu,Agave Syrup
Inflammation,combination,Tofu Stir Fry,Fried Chicken
Wrinkles,nonveg,Prawns,Mutton Curry
Wrinkles,veg,Carrot,Carbonated Drinks
Redness,vegen,Hummus,Refined Oil
Pigmentation,veg,Carrot,Fried Potato
Pores,nonveg,Eggs,Butter Chicken
Uneven Skin Tone,nonveg,Prawns,Sausages
Sunburn,veg,Carrot,Cheese
Dryness,combination,Fish Curry with Rice,Instant Noodles
Blackheads,nonveg,Prawns,Red Meat
Pores,nonveg,Liver,Fried Egg
Pigmentation,veg,Carrot,Creamy Curries
Rosacea,vegen,Tofu,Fried Tofu
Redness,nonveg,Tuna,Spicy Chicken
Tanning,nonveg,Prawns,Fried Egg
Rosacea,nonveg,Tuna,Mayonnaise
Redness,veg,Sweet Potato,Cheese
Wrinkles,vegen,Tofu,Agave Syrup
Itchy Skin,veg,Tomato,Pickles
Tanning,combination,Chicken with Broccoli,Pizza
Oily Skin,nonveg,Eggs,Butter Chicken
Pigmentation,nonveg,Tuna,Fried Egg
Dark Circles,veg,Sweet Potato,Deep-Fried Snacks
Blackheads,combination,Fish Curry with Rice,Butter Paneer
Eczema,veg,Sweet Potato,Creamy Curries
Uneven Skin Tone,veg,Almonds,Creamy Curries
Sagging,vegen,Chia Seeds,Refined Oil
Redness,combination,Tofu Stir Fry,Sugary Drinks
Acne,veg,Broccoli,Carbonated Drinks
Oily Skin,nonveg,Turkey,Fried Egg
Itchy Skin,vegen,Chia Seeds,Fried Tofu
Dark Spots,veg,Pumpkin Seeds,Processed Juice
Redness,nonveg,Prawns,Bacon
Pores,vegen,Tofu,Refined Oil
Dark Circles,vegen,Hummus,Coconut Cream
Rosacea,vegen,Tofu,Mock Meats
Pores,veg,Beetroot,Cheese
Itchy Skin,nonveg,Yogurt,Fried Egg
Dark Spots,nonveg,Oysters,Processed Meat
Blackheads,combination,Avocado Toast with Egg,Pizza
Itchy Skin,combination,Fish Curry with Rice,Cream Biscuits
Eczema,veg,Cucumber,Butter
Sagging,nonveg,Bone Broth,Sausages
Redness,combination,Chicken with Broccoli,Butter Paneer
Inflammation,vegen,Kale,Refined Oil
Tanning,veg,Sweet Potato,Processed Juice
Itchy Skin,combination,Baked Fish with Veggies,Instant Noodles
Tanning,combination,Tofu Stir Fry,Cream Biscuits
Dullness,vegen,Lentils,White Sugar
Dark Spots,nonveg,Bone Broth,Butter Chicken
Dullness,veg,Almonds,Creamy Curries
Blackheads,combination,Baked Fish with Veggies,Fried Chicken
Uneven Skin Tone,nonveg,Liver,Fried Egg
Tanning,veg,Almonds,Butter
Inflammation,veg,Broccoli,Butter
Uneven Skin Tone,veg,Turmeric Milk,White Bread
Dark Spots,vegen,Soy Milk,Coconut Cream
Pigmentation,veg,Carrot,White Bread
Rosacea,nonveg,Turkey,Red Meat
Rosacea,vegen,Lentils,Vegan Mayo
Eczema,veg,Carrot,Deep-Fried Snacks
Pigmentation,combination,Greek Yogurt with Berries,Instant Noodles
Pores,veg,Tomato,Fried Potato
Tanning,nonveg,Salmon,Processed Meat
Sagging,combination,Greek Yogurt with Berries,Fried Chicken
Blackheads,vegen,Lentils,White Sugar
Tanning,combination,Avocado Toast with Egg,Ice Cream
Acne,nonveg,Turkey,Processed Meat
Acne,veg,Carrot,Carbonated Drinks
Dryness,combination,Avocado Toast with Egg,Excess Cheese
Wrinkles,combination,Vegetable Soup,Pizza
Pores,vegen,Lentils,White Sugar
Tanning,combination,Tofu Stir Fry,Ice Cream
Itchy Skin,combination,Avocado Toast with Egg,Butter Paneer
Inflammation,veg,Sweet Potato,Creamy Curries
Acne,veg,Sweet Potato,Creamy Curries
Pigmentation,vegen,Soy Milk,Refined Oil
Wrinkles,nonveg,Liver,Processed Meat
Wrinkles,veg,Tomato,Butter
Dullness,combination,Fruit Yogurt,Sugary Drinks
Eczema,veg,Almonds,Creamy Curries
Whiteheads,combination,Avocado Toast with Egg,Fried Chicken
Rosacea,combination,Fish Curry with Rice,Instant Noodles
Dryness,vegen,Tofu,Overprocessed Vegan Snacks
Wrinkles,combination,Mixed Nuts,Cream Biscuits
Eczema,vegen,Kale,Overprocessed Vegan Snacks
Uneven Skin Tone,vegen,Tofu,Overprocessed Vegan Snacks
Pigmentation,veg,Turmeric Milk,Fried Potato
Uneven Skin Tone,nonveg,Tuna,Bacon
Itchy Skin,veg,Broccoli,Creamy Curries
Dullness,vegen,Hummus,Packaged Vegan Chips
Tanning,combination,Mixed Nuts,Chips
Eczema,nonveg,Bone Broth,Sausages
Uneven Skin Tone,nonveg,Chicken Breast,Mutton Curry
Tanning,nonveg,Oysters,Red Meat
Sagging,veg,Beetroot,Butter
Uneven Skin Tone,combination,Vegetable Soup,Burger
Pigmentation,veg,Carrot,Carbonated Drinks
Rosacea,nonveg,Eggs,Fried Fish
Oily Skin,vegen,Oats,Overprocessed Vegan Snacks
Itchy Skin,vegen,Tofu,Agave Syrup
Whiteheads,nonveg,Bone Broth,Processed Meat
Tanning,combination,Mixed Nuts,Fried Chicken
Uneven Skin Tone,nonveg,Eggs,Fried Egg
Dullness,nonveg,Oysters,Spicy Chicken
Uneven Skin Tone,veg,Almonds,Refined Sugar
Dark Spots,combination,Baked Fish with Veggies,Chips
Eczema,veg,Cucumber,Refined Sugar
Dryness,combination,Egg Salad,Fried Chicken
Dryness,combination,Fruit Yogurt,Cream Biscuits
Oily Skin,combination,Baked Fish with Veggies,Butter Paneer
Dullness,combination,Baked Fish with Veggies,Ice Cream
Pores,nonveg,Oysters,Spicy Chicken
Dullness,vegen,Coconut Water,Packaged Vegan Chips
Wrinkles,vegen,Chia Seeds,Coconut Cream
Inflammation,combination,Tofu Stir Fry,Butter Paneer
Sunburn,combination,Fruit Yogurt,Cream Biscuits
Sunburn,veg,Pumpkin Seeds,Carbonated Drinks
Sagging,veg,Tomato,Carbonated Drinks
Wrinkles,nonveg,Liver,Fried Fish
Oily Skin,nonveg,Tuna,Butter Chicken
Eczema,nonveg,Liver,Red Meat
Dark Spots,vegen,Coconut Water,Vegan Mayo
Pigmentation,veg,Pumpkin Seeds,White Bread
Sagging,vegen,Oats,Refined Oil
Dullness,vegen,Tofu,Coconut Cream
Oily Skin,combination,Fish Curry with Rice,Burger
Itchy Skin,combination,Avocado Toast with Egg,Chips
Sunburn,combination,Vegetable Soup,Butter Paneer
Dark Spots,veg,Spinach,Deep-Fried Snacks
Inflammation,veg,Pumpkin Seeds,Pickles
Sagging,nonveg,Yogurt,Bacon
Rosacea,vegen,Chia Seeds,Fried Tofu
Itchy Skin,vegen,Tofu,Mock Meats
Rosacea,veg,Broccoli,Carbonated Drinks
Sunburn,vegen,Tofu,Mock Meats
Eczema,combination,Avocado Toast with Egg,Excess Cheese
Whiteheads,combination,Egg Salad,Cream Biscuits
Inflammation,veg,Carrot,Refined Sugar
Dryness,combination,Baked Fish with Veggies,Ice Cream
Inflammation,veg,Sweet Potato,Carbonated Drinks
Uneven Skin Tone,nonveg,Chicken Breast,Fried Fish
Tanning,vegen,Coconut Water,Packaged Vegan Chips
Dullness,nonveg,Yogurt,Sausages
Whiteheads,combination,Tofu Stir Fry,Cream Biscuits
Itchy Skin,combination,Baked Fish with Veggies,Sugary Drinks
Tanning,combination,Baked Fish with Veggies,Chips
Inflammation,combination,Greek Yogurt with Berries,Sugary Drinks
Dark Spots,veg,Turmeric Milk,Fried Potato
Pigmentation,nonveg,Chicken Breast,Mayonnaise
Inflammation,vegen,Coconut Water,Mock Meats
Oily Skin,nonveg,Yogurt,Butter Chicken
Tanning,nonveg,Bone Broth,Mayonnaise
Oily Skin,vegen,Soy Milk,Coconut Cream
Inflammation,combination,Fruit Yogurt,Chips
Wrinkles,combination,Vegetable Soup,Excess Cheese
Sagging,nonveg,Prawns,Sausages
Dark Spots,veg,Spinach,White Bread
Sunburn,veg,Tomato,Deep-Fried Snacks
Dark Spots,combination,Avocado Toast with Egg,Fried Chicken
Wrinkles,veg,Turmeric Milk,Carbonated Drinks
Eczema,vegen,Coconut Water,White Sugar
Whiteheads,combination,Tofu Stir Fry,Pizza
Acne,nonveg,Chicken Breast,Mayonnaise
Itchy Skin,veg,Pumpkin Seeds,Cheese
Dark Circles,vegen,Hummus,Mock Meats
Sunburn,nonveg,Oysters,Fried Fish
Uneven Skin Tone,veg,Cucumber,Fried Potato
Uneven Skin Tone,nonveg,Eggs,Sausages
Acne,veg,Spinach,Processed Juice
Blackheads,veg,Carrot,Carbonated Drinks
Tanning,nonveg,Bone Broth,Mayonnaise
Dullness,nonveg,Oysters,Processed Meat
Wrinkles,nonveg,Liver,Red Meat
Inflammation,veg,Sweet Potato,Cheese
Tanning,veg,Sweet Potato,Refined Sugar
Dryness,combination,Mixed Nuts,Pizza
Dark Circles,combination,Vegetable Soup,Butter Paneer
Sunburn,vegen,Chia Seeds,Coconut Cream
Dark Spots,vegen,Oats,Agave Syrup
Rosacea,nonveg,Turkey,Fried Fish
Sunburn,combination,Greek Yogurt with Berries,Cream Biscuits
Rosacea,nonveg,Tuna,Processed Meat
Blackheads,veg,Carrot,Cheese
Tanning,combination,Avocado Toast with Egg,Burger
Pores,combination,Baked Fish with Veggies,Ice Cream
Oily Skin,combination,Avocado Toast with Egg,Excess Cheese
Blackheads,vegen,Zucchini,Overprocessed Vegan Snacks
Pores,combination,Chicken with Broccoli,Burger
Rosacea,combination,Vegetable Soup,Excess Cheese
Eczema,veg,Beetroot,Deep-Fried Snacks
Blackheads,vegen,Kale,Overprocessed Vegan Snacks
Itchy Skin,veg,Beetroot,Deep-Fried Snacks
Eczema,vegen,Hummus,Agave Syrup
Acne,combination,Vegetable Soup,Instant Noodles
Pigmentation,veg,Almonds,Butter
Whiteheads,veg,Almonds,Refined Sugar
Dryness,veg,Turmeric Milk,Creamy Curries
Uneven Skin Tone,nonveg,Oysters,Butter Chicken
Dullness,vegen,Lentils,Refined Oil
Pores,veg,Carrot,Carbonated Drinks
Tanning,veg,Beetroot,Creamy Curries
Sunburn,veg,Broccoli,White Bread
Sagging,vegen,Oats,Agave Syrup
Dark Circles,veg,Broccoli,Butter
Whiteheads,vegen,Chia Seeds,Vegan Mayo
Inflammation,nonveg,Bone Broth,Processed Meat
Sunburn,veg,Turmeric Milk,Pickles
Inflammation,veg,Almonds,Creamy Curries
Rosacea,combination,Tofu Stir Fry,Pizza
Inflammation,nonveg,Eggs,Butter Chicken
Tanning,combination,Tofu Stir Fry,Fried Chicken
Itchy Skin,combination,Mixed Nuts,Chips
Wrinkles,nonveg,Oysters,Butter Chicken
Itchy Skin,nonveg,Turkey,Fried Fish
Itchy Skin,combination,Vegetable Soup,Pizza
Redness,veg,Spinach,Pickles
Whiteheads,veg,Tomato,Butter
Sunburn,veg,Sweet Potato,Creamy Curries
Sunburn,vegen,Kale,Coconut Cream
Dark Spots,nonveg,Tuna,Mutton Curry
Rosacea,combination,Baked Fish with Veggies,Butter Paneer
Acne,combination,Chicken with Broccoli,Ice Cream
Acne,veg,Turmeric Milk,Refined Sugar
Pores,nonveg,Prawns,Sausages
Acne,nonveg,Prawns,Spicy Chicken
Rosacea,nonveg,Oysters,Bacon
Pigmentation,veg,Broccoli,Refined Sugar
Pigmentation,nonveg,Chicken Breast,Fried Egg
Dryness,combination,Baked Fish with Veggies,Butter Paneer
Dark Circles,veg,Broccoli,Butter
Oily Skin,veg,Carrot,Creamy Curries
Inflammation,combination,Chicken with Broccoli,Cream Biscuits
Sunburn,nonveg,Yogurt,Processed Meat
Blackheads,veg,Carrot,Processed Juice
Sagging,combination,Chicken with Broccoli,Sugary Drinks
Dark Circles,combination,Greek Yogurt with Berries,Butter Paneer
Acne,vegen,Tofu,Agave Syrup
Whiteheads,vegen,Oats,Overprocessed Vegan Snacks
Pigmentation,combination,Chicken with Broccoli,Butter Paneer
Dullness,nonveg,Eggs,Bacon
Acne,combination,Vegetable Soup,Sugary Drinks
Redness,veg,Spinach,Deep-Fried Snacks
Eczema,veg,Carrot,Carbonated Drinks
Dullness,vegen,Coconut Water,Agave Syrup
Wrinkles,vegen,Oats,Refined Oil
Sagging,veg,Beetroot,Deep-Fried Snacks
Rosacea,vegen,Tofu,Refined Oil
Dark Circles,veg,Carrot,Processed Juice
Uneven Skin Tone,nonveg,Liver,Sausages
Dark Circles,veg,Turmeric Milk,Cheese
Sunburn,vegen,Coconut Water,Mock Meats
Acne,veg,Pumpkin Seeds,Creamy Curries
Sagging,combination,Egg Salad,Pizza
Wrinkles,vegen,Oats,Overprocessed Vegan Snacks
Uneven Skin Tone,veg,Carrot,Creamy Curries
Sunburn,vegen,Chia Seeds,Excess Soy
Dryness,vegen,Tofu,Overprocessed Vegan Snacks
Oily Skin,veg,Tomato,Deep-Fried Snacks
Rosacea,veg,Sweet Potato,Creamy Curries
Oily Skin,vegen,Kale,Overprocessed Vegan Snacks
Pigmentation,veg,Carrot,Butter
Uneven Skin Tone,combination,Avocado Toast with Egg,Burger
Sagging,veg,Turmeric Milk,White Bread
Tanning,veg,Cucumber,Fried Potato
Itchy Skin,combination,Fruit Yogurt,Ice Cream
Redness,veg,Beetroot,Carbonated Drinks
Dullness,combination,Fish Curry with Rice,Sugary Drinks
Pores,nonveg,Chicken Breast,Sausages
Acne,nonveg,Oysters,Spicy Chicken
Sunburn,combination,Chicken with Broccoli,Sugary Drinks
Acne,combination,Fruit Yogurt,Butter Paneer
Sagging,nonveg,Liver,Fried Egg
Acne,nonveg,Eggs,Sausages
Pores,combination,Chicken with Broccoli,Ice Cream
Dark Circles,vegen,Hummus,White Sugar
Itchy Skin,combination,Greek Yogurt with Berries,Pizza
Dark Circles,combination,Mixed Nuts,Chips
Inflammation,combination,Chicken with Broccoli,Excess Cheese
Dryness,nonveg,Chicken Breast,Fried Fish
Inflammation,veg,Pumpkin Seeds,Deep-Fried Snacks
Inflammation,veg,Beetroot,Pickles
Tanning,vegen,Lentils,Mock Meats
Tanning,vegen,Lentils,Fried Tofu
Tanning,vegen,Coconut Water,Agave Syrup
Dark Circles,nonveg,Turkey,Sausages
Dryness,veg,Sweet Potato,Deep-Fried Snacks
Whiteheads,combination,Baked Fish with Veggies,Instant Noodles
Acne,nonveg,Turkey,Butter Chicken
Oily Skin,veg,Turmeric Milk,Fried Potato
